user_id,item_id
0,2732 1811 2256 472 2342 3418 2630 1001 3528 331
1,1811 3677 3529 463 2281 467 169 1039 204 790
2,640 1831 1956 2210 1039 2603 2342 3694 2630 1211
3,3529 989 3022 1316 1223 467 1560 1543 3013 2636
4,1583 2297 3022 2732 2646 1039 1337 2402 2256 1560
5,472 1315 1583 1223 3022 2054 3013 1039 2297 3529
6,472 467 2402 3677 2528 2646 2636 2281 863 2732
7,584 2210 476 1956 2630 331 463 3238 2646 1746
8,1240 2587 1848 2335 2119 3227 663 1070 169 3338
9,3013 36 1505 1560 1638 3418 2297 1030 2664 1279
10,472 1543 2862 1316 1811 1223 3013 2402 124 1560
11,584 1039 640 1956 1831 2980 2210 2757 169 512
12,472 1315 3423 132 2528 1223 3013 1543 1279 2054
13,584 2980 2732 640 1956 3529 2646 472 2210 2626
14,1831 1811 2256 2980 640 584 2732 3022 1560 1583
15,1223 1316 640 1583 3529 2054 3409 2732 1831 2564
16,1376 2054 3692 3059 3142 2732 2673 1057 1102 37
17,1831 3529 472 36 2732 1337 2342 1746 2745 1030
18,3022 2256 2297 1583 1560 2732 1831 1811 2068 512
19,1543 2054 1859 3269 2933 2828 1316 2224 3692 3151
20,2370 467 863 1371 1887 3059 2774 1376 3656 3692
21,1699 1166 791 549 601 636 781 2908 1801 24
22,1811 2402 2980 3677 1315 2646 3059 1001 790 2636
23,472 2402 922 2673 3059 1315 1102 1379 1057 1887
24,989 3013 124 2402 528 3409 1583 2387 2076 1337
25,1039 2732 584 166 1184 36 530 3367 3231 169
26,3153 3423 124 2564 36 989 1560 2054 463 1315
27,472 1583 3013 3529 1223 1316 3409 1543 2862 463
28,584 3022 2297 3529 2603 463 3409 36 2745 2342
29,3013 2564 1223 2862 1560 3272 1543 2617 3529 989
30,3022 584 3677 169 1086 331 183 2342 1471 2480
31,1039 3022 1583 640 3013 1831 2646 1279 169 2980
32,2732 472 1315 3022 1039 1583 2646 584 2980 169
33,640 584 1039 2297 3694 3529 208 1956 463 2342
34,1376 3692 2528 1102 3059 2281 3418 3131 169 1379
35,3013 1223 3409 2862 1543 1279 1638 2510 1560 618
36,472 1316 1223 3013 3529 1560 2862 1583 124 2402
37,1315 2528 2281 3367 3402 452 1848 467 1887 2370
38,584 1831 2757 1956 2468 3418 1546 2603 1078 183
39,1811 1831 584 3022 1956 2980 2297 640 472 1583
40,1811 472 512 2862 169 204 1543 1858 3367 1615
41,1583 2297 640 584 463 1039 1831 2688 3409 2210
42,3022 640 584 1831 1583 2297 2980 1039 1956 2210
43,584 3529 2630 1831 1505 2501 3473 2931 2128 214
44,3022 1039 1583 2297 640 2646 36 472 2210 1223
45,2603 584 2297 1039 2688 169 1831 36 2745 3529
46,584 2732 2980 1039 2297 169 2646 1956 1811 1583
47,472 3013 3409 1223 3151 2557 618 3418 1505 573
48,3423 3013 1543 3269 1316 36 1279 3153 3409 796
49,3022 584 1583 2297 1315 1560 169 472 2646 1831
50,1583 1811 204 2626 512 2281 3677 2119 1711 1546
51,1811 1583 2297 1831 2980 584 3529 3022 640 2774
52,2210 169 2342 2745 2688 3677 2646 1711 2331 1216
53,1583 2862 3022 1223 1279 3423 618 2688 2510 3529
54,476 246 2646 2980 1337 2297 3529 3013 463 3272
55,640 2603 2210 2732 476 1505 3694 2510 2630 3418
56,3423 1615 2664 1592 1858 3424 69 707 1030 2732
